"","population","number.of.drugs","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"CYCLOPHOSPHAMIDE",19,4,"CYCLOPHOSPHAMIDE","FLUOROURACIL","IFOSFAMIDE","PROCARBAZINE",NA,NA,NA,NA,NA,NA
"DABRAFENIB",20,5,"DABRAFENIB","GDC0879","PLX4720","SELUMETINIB","TRAMETINIB",NA,NA,NA,NA,NA
"DACARBAZINE",21,4,"CIMETIDINE","DACARBAZINE","TEMOZOLOMIDE","VELIPARIB",NA,NA,NA,NA,NA,NA
"DECITABINE",22,3,"AZACITIDINE","DECITABINE","ZEBULARINE",NA,NA,NA,NA,NA,NA,NA
"DEXAMETHASONE",23,2,"DEXAMETHASONE","THALIDOMIDE",NA,NA,NA,NA,NA,NA,NA,NA
"GMX1778",24,5,"CAY10618","GMX1778","RG108","SB431542","TIPIFARNIBP2",NA,NA,NA,NA,NA
"GSK461364",25,2,"GSK461364","GW843682X",NA,NA,NA,NA,NA,NA,NA,NA
"IMATINIB",26,3,"IMATINIB","MASITINIB","NILOTINIB",NA,NA,NA,NA,NA,NA,NA
"ISONICOTINOHYDROXAMICACID",27,3,"BRDK88742110","ISONICOTINOHYDROXAMICACID","MYRICETIN",NA,NA,NA,NA,NA,NA,NA
"ISOX",28,5,"APICIDIN","BELINOSTAT","ISOX","TUBASTATINA","VORINOSTAT",NA,NA,NA,NA,NA
"KU0063794",29,8,"AZD8055","GDC0941","KU0063794","MK2206","NVPBEZ235","OSI027","PI103","ZSTK474",NA,NA
"KU60019",30,3,"KU55933","KU60019","SU11274",NA,NA,NA,NA,NA,NA,NA
"LOVASTATIN",31,4,"FLUVASTATIN","LOVASTATIN","PARTHENOLIDE","SIMVASTATIN",NA,NA,NA,NA,NA,NA
"MLN2238",32,3,"BORTEZOMIB","MG132","MLN2238",NA,NA,NA,NA,NA,NA,NA
"OUABAIN",33,4,"AVICIND","BREFELDINA","NARCICLASINE","OUABAIN",NA,NA,NA,NA,NA,NA
"PAC1",34,6,"CICLOPIROX","MST312","NUTLIN3","OLAPARIB","PAC1","TW37",NA,NA,NA,NA
"PACLITAXEL",35,3,"DOCETAXEL","MK1775","PACLITAXEL",NA,NA,NA,NA,NA,NA,NA
"PF750",36,7,"ERASTIN","KO143","NECROSTATIN1","OLIGOMYCINA","PF750","SID26681509","VALDECOXIB",NA,NA,NA
"PIPERLONGUMINE",37,5,"CURCUMIN","MANUMYCINA","NSC632839","PIPERLONGUMINE","PX12",NA,NA,NA,NA,NA
"PRIMA1MET",38,7,"AGK2","DARINAPARSIN","FUMONISINB1","PRIMA1","PRIMA1MET","SRT1720","VER155008",NA,NA,NA
"PURMORPHAMINE",39,3,"PIFITHRINALPHA","PURMORPHAMINE","QS11",NA,NA,NA,NA,NA,NA,NA
"PYRAZOLANTHRONE",40,2,"PYRAZOLANTHRONE","TPCA1",NA,NA,NA,NA,NA,NA,NA,NA
"SALERMIDE",41,7,"BIBR1532","CI976","IMPORTAZOLE","NICLOSAMIDE","SALERMIDE","SCH79797","YM155",NA,NA,NA
"SARACATINIB",42,7,"AZD7762","BOSUTINIB","CEDIRANIB","DASATINIB","NINTEDANIB","SARACATINIB","TANDUTINIB",NA,NA,NA
"SERDEMETAN",43,2,"ITRACONAZOLE","SERDEMETAN",NA,NA,NA,NA,NA,NA,NA,NA
"SITAGLIPTIN",44,5,"BLEBBISTATIN","PRL3INHIBITORI","SGX523","SITAGLIPTIN","TG100115",NA,NA,NA,NA,NA
"SN38",45,8,"CHLORAMBUCIL","CLOFARABINE","ETOPOSIDE","GEMCITABINE","METHOTREXATE","SN38","TENIPOSIDE","TOPOTECAN",NA,NA
"TACEDINALINE",46,4,"BRDK55116708","ENTINOSTAT","MERCK60","TACEDINALINE",NA,NA,NA,NA,NA,NA
"TEMSIROLIMUS",47,4,"CYTOCHALASINB","SIROLIMUS","TACROLIMUS","TEMSIROLIMUS",NA,NA,NA,NA,NA,NA
"TG101348",48,4,"BI2536","KU0060648","SUNITINIB","TG101348",NA,NA,NA,NA,NA,NA
"TIVOZANIB",49,8,"AXITINIB","KI8751","LINIFANIB","MGCD265","PAZOPANIB","QUIZARTINIB","SORAFENIB","TIVOZANIB",NA,NA
"TRIFLUOPERAZINE",50,3,"PROCHLORPERAZINE","TANESPIMYCIN","TRIFLUOPERAZINE",NA,NA,NA,NA,NA,NA,NA
"VINCRISTINE",51,6,"LY2183240","PARBENDAZOLE","SB225002","TIVANTINIB","VINCRISTINE","YK4279",NA,NA,NA,NA
