compound_name,gene_name_of_protein_target,target_or_activity_of_compound
sorafenib,BRAF;FLT3;KDR;RAF1,"inhibitor of BRAF, CRAF, and VEGFR2"
BRD-K51490254,HDAC6;HDAC8,inhibitor of HDAC6 and HDAC8
EX-527,SIRT1,inhibitor of sirtuin 1
bendamustine,,DNA alkylator
PYR-41,UBA1,inhibitor of ubiquitin-activating enzyme in cells
B02,RAD51,inhibitor of RAD51
ML031,S1PR2,inhibitor of sphingosine 1-phosphate receptor 2
tipifarnib-P1,FNTA,inhibitor of farnesyltransferase
BRD9876,,screening hit
parthenolide,,natural product; modulator of ROS; modulator of NF-kappa-B signaling
tandutinib,FLT3;KIT,inhibitor of c-KIT and VEGFR3
CID-5951923,KLF5,modulator of KLF5 expression
DBeQ,VCP,inhibitor of p97 in cells
LE-135,RARB,antagonist of retinoic acid receptor beta
BRD-K24690302,HDAC1,inhibitor of HDAC1
ML203,PKM,activator of muscle pyruvate kinase (PKM2)
dexamethasone,NR3C1,agonist of glucocorticoid receptor
BRD8899,STK33,inhibitor of serine/threonine kinasase STK33
KH-CB19,CLK1;CLK4,inhibitor of CDC2-like kinases 1 and 4
MK-0752,APH1A;NCSTN;PSEN1;PSENEN,inhibitor of gamma-secretase
SB-431542,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor
Repligen 136,HDAC3,inhibitor of HDAC3
OSI-930,KDR;KIT,inhibitor of c-KIT and VEGFR2
tacrolimus,PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2,inhibitor of calcineurin
cytarabine hydrochloride,,inducer of DNA damage
clofarabine,,inducer of DNA damage
3-Cl-AHPC,NR0B2,binder of nuclear receptor SHP
CD-437,RARG,agonist of retinoic acid receptor gamma
gemcitabine,CMPK1;RRM1;TYMS,"inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase"
mitomycin,,DNA crosslinker
PF-184,IKBKB,inhibitor of IKK-2
chlorambucil,,DNA alkylator
SN-38,TOP1,metabolite of irinotecan; inhibitor of topoisomerase I
topotecan,TOP1,inhibitor of topoisomerase I
indisulam,CA9,inhibitor of carbonic anhydrase isoform IX
barasertib,AURKB,inhibitor of aurora kinase B
alisertib,AURKA;AURKB,inhibitor of aurora kinases A and B
bleomycin A2,,inducer of DNA damage
doxorubicin,TOP2A,inhibitor of topoisomerase II
teniposide,TOP2A;TOP2B,inhibitor of topoisomerase II
etoposide,TOP2A,inhibitor of topoisomerase II
ruxolitinib,JAK1;JAK2,inhibitor of Janus kinases 1 and 2
RAF265,BRAF;KDR,ihibitor of VEGFR2 and BRAF
pyrazolanthrone,MAPK10;MAPK8;MAPK9,inhibitor of Jun N-terminal kinase (JNK) 1/2/3
TPCA-1,IKBKB,inhibitor of IKK-2
AZ-3146,TTK,inhibitor of TTK protein kinase
Mdivi-1,DNM1,inhibitor of dynamin 1; inhibitor of mitrochondrial division inhibitor
elocalcitol,VDR,agonist of vitamin D receptor
SU11274,MET,inhibitor of MET
BRD1835,EZH2,product of diversity oriented synthesis; screening hit
SID 26681509,CTSL1,inhibitor of cathepsin L
pevonedistat,NAE1,inhibitor of Nedd-8 activating enzyme
BRD-K35604418,MCL1,inhibitor of MCL1
ETP-46464,ATM;ATR,inhibitor of serine/threonine-protein kinase ATR
NSC48300,TASP1,inhibitor of threonine endopeptidase taspase 1
curcumin,,natural product; modulator of ROS; modulator of NF-kappa-B signaling
sunitinib,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"
KW-2449,AURKA;FLT3,inhibitor of FLT3 and AURKA
AZD4547,FGFR1;FGFR2;FGFR3,inhibitor of fibroblast growth factor receptors
lenvatinib,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"
pazopanib,FLT1;FLT3;KDR;KIT;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFRB"
tivozanib,FLT1;FLT3;KDR,inhibitor of VEGFRs
axitinib,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"
Ki8751,KDR;KIT;PDGFRA,"inhibitor of VEGFR2, c-KIT, and PDGFRA"
cediranib,FLT1;FLT4;KDR,inhibitor of VEGFRs
MGCD-265,FLT1;FLT3;KDR;MET,inhibitor of c-MET and VEGFRs
foretinib,KDR;MET,inhibitor of MET and VEGFR2
cabozantinib,FLT3;KDR;MET;RET,"inhibitor of c-MET, VEGFR2/3, and RET"
tamatinib,SYK,inhibitor of spleen tyrosine kinase
nintedanib,FGFR1;FGFR2;FGFR3;FLT1;FLT3;KDR;PDGFRA;PDGFRB,"inhibitor of c-KIT, VEGFRs, PDGFRs, and FGFRs"
PIK-93,PIK3CG,inhibitor of PI3K catalytic subunit gamma
KU 0060648,PRKDC,inhibitor of DNA-dependent protein kinase
MK-2206,AKT1,inhibitor of AKT1
GDC-0941,PIK3CA;PIK3CB;PIK3CD;PIK3CG,inhibitor of PI3K kinase activity
ZSTK474,PIK3CB;PIK3CD;PIK3CG,"inhibitor of PI3K catalytic subunits beta, delta, and gamma"
GSK1059615,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG,inhibitor of PI3K and mTOR kinase activity
NVP-BEZ235,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG,inhibitor of PI3K and mTOR kinase activity
BYL-719,PIK3CA,inhibitor of PI3K catalytic subunit alpha
temsirolimus,MTOR,inhibitor of mTOR
sirolimus,MTOR,inhibitor of mTOR
OSI-027,MTOR,inhibitor of mTORC1 and mTORC2
KU-0063794,MTOR,inhibitor of mTOR
AZD8055,MTOR,inhibitor of mTOR
PF-573228,PTK2,inhibitor of focal adhesion kinase
crizotinib,ALK;MET,inhibitor of c-MET and ALK
NVP-BSK805,JAK2,inhibitor of Janus kinase 2
TG-101348,JAK2,inhibitor of Janus kinase 2
AT7867,AKT1;AKT2;AKT3;RPS6KB2,inhibitor of AKT1/2/3 and S6K
cytochalasin B,,inhibitor of actin polymerization
NVP-TAE684,ALK,inhibitor of ALK and ALK-NPM fusion protein
BMS-754807,IGF1R,inhibitor of insulin-like growth factor 1 receptor and insulin receptor
BMS-536924,IGF1R;INSR,inhibitor of insulin-like growth factor 1 receptor (IGF1R) and insulin receptor (INSR)
linsitinib,IGF1R;INSR,inhibitor of insulin-like growth factor 1 receptor and insulin receptor
NVP-ADW742,IGF1R,inhibitor of insulin-like growth factor 1 receptor
cyanoquinoline 11,MAP3K8,inhibitor of MAP3K8; inhibitor of phosphorylated EGFR in cells
austocystin D,,natural product; inducer of DNA damage
olaparib,PARP1;PARP2,inhibitor of poly (ADP-ribose) polymerase 1 and 2
PI-103,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC,"inhibitor of DNA-PK, PI3K p110 delta, mTORC1, and catalytic subunits of PI3K"
triptolide,,natural product; inhibitor of RNA polymerase II
cucurbitacin I,,natural product; modulator of NFKB1 and STAT3 signaling
KPT185,XPO1,inhibitor of exportin 1
NSC632839,USP13;USP5,inhibitor of ubiquitin isopeptidase
LRRK2-IN-1,DCLK1;LRRK2,inhibitor of leucine-rich repeat kinase 2; inhibitor of doublecortin-like kinase
JQ-1,BRDT,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins
GSK525762A,BRD2;BRD3;BRD4,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins
I-BET151,BRD2;BRD3;BRD4,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins
nutlin-3,MDM2,inhibitor of p53-MDM2 interaction
HLI 373,MDM2,inhibitor of MDM2
serdemetan,MDM2,inhibitor of MDM2
necrosulfonamide,,inhibitor of downstream signaling of RIP3 associated with MLKL
HBX-41108,USP7,inhibitor of the deubiquitinase activity of USP7
SMER-3,CUL1;SKP1,inhibitor of E3-ubiquitin ligase
BRD-K28456706,HNF4A,inhibitor of hepatocyte nuclear factor 4 alpha
BRD-K45681478,,product of diversity oriented synthesis; screening hit
methylstat,KDM3A;KDM4A;KDM4B;KDM4C;KDM4D,inhibitor of lysine specific demethylases
PL-DI,,dimer of piperlongumine; inducer of ROS
piperlongumine,,natural product; modulator of ROS levels
BRD-K34222889,,analog of the natural product piperlongumine
cerulenin,FASN;HMGCS1,inhibitor of fatty acid synthase; inhibitor of HMG-CoA synthase
BRD-K26531177,,analog of the natural product piperlongumine
NSC95397,CDC25A;CDC25B;CDC25C,inhibitor of cell division cycle 25 phosphatase (CDC25)
manumycin A,FNTA;FNTB,inhibitor of RAS farnesyltransferase
CCT036477,,inhibitor of WNT signaling by blocking beta-catenin transcription
PX-12,TXN,inhibitor of thioredoxin-1
PRIMA-1,TP53,re-activator of the pro-apoptotic activity of mutant p53
968,GLS,inhibitor of glutaminase
ML029,,inhibitor of antigen receptor-mediated NFkappaB activity
AZD1480,JAK1;JAK2,inhibitor of Janus kinases 1 and 2
RITA,MDM2;TP53,inhibitor of p53-MDM2 interaction
ABT-199,BCL2,inhibitor of BCL2
ABT-737,BCL2;BCL2L1;BCL2L2,"inhibitor of BCL2, BCL-xL, and BCL-W"
navitoclax,BCL2;BCL2L1;BCL2L2,"inhibitor of BCL2, BCL-xL, and BCL-W"
R428,AXL,inhibitor of the tyrosine-protein kinase receptor UFO
NSC23766,RAC1;TIAM1;TRIO,inhibitor of RAC1-GEF interaction; prevents Rac1 activation by Rac-specific guanine nucleotide exchange factors (GEFs) TrioN and Tiam1
BIX-01294,EHMT2,inhibitor of G9a histone methyltransferase
UNC0638,EHMT1;EHMT2,inhibitor of EHMT2 and GLP methyltransferase
PF-543,SPHK1,inhibitor of sphingosine kinase-1
prochlorperazine,DRD2,inhibitor of dopamine receptor D2
trifluoperazine,DRD2,antagonist of dopamine receptor D2
SCH-529074,TP53,activator of mutant p53
fingolimod,S1PR1,inhibitor of sphingosine 1-phosphate receptor
GW-405833,CNR2,partial agonist of cannabinoid receptor 2
StemRegenin 1,AHR,inhibitor of aryl hydrocarbon receptor
Bax channel blocker,BAX,inhibitor of BAX-mediated mitochondrial cytochrome c release
Compound 23 citrate,,analog of natural product cortistatin
nilotinib,ABL1;BCR;KIT,"inhibitor of ABL1, BCR, and c-KIT"
masitinib,KIT;PDGFRA;PDGFRB,"inhibitor of c-KIT, PDGFRA, and PDGFRB"
imatinib,ABL1;BCR;KIT,inhibitor of BCR-ABL1 and c-KIT
GANT-61,,inhibitor of hedgehog signaling pathway
KU-55933,ATM,inhibitor of ataxia telangiectasia mutated (ATM)
KU-60019,ATM,inhibitor of ataxia telangiectasia mutated (ATM)
BRD-K11533227,HDAC1;HDAC2,inhibitor of HDAC1 and HDAC2
neuronal differentiation inducer III,,induction of rat HCN cell differentiation as judged by induction of neuronal reporter neuroD activity
BRD-K66532283,HDAC1;HDAC2,inhibitor of HDAC1 and HDAC2
BRD-K80183349,HDAC1;HDAC2,inhibitor of HDAC1 and HDAC2
tacedinaline,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
LBH-589,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
belinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
vorinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
apicidin,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
ISOX,HDAC6,inhibitor of HDAC6
entinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
Merck60,HDAC1;HDAC2,inhibitor of HDAC1 and HDAC2
BRD-K61166597,,inhibitor of HDAC1 and HDAC2
BRD-A86708339,,screening hit
ciclopirox,RRM1,substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase
PAC-1,CASP3,activator of procaspase-3
obatoclax,BCL2;BCL2L1;MCL1,"inhibitor of MCL1, BCL2, and BCL-xL"
BRD-K63431240,,product of diversity oriented synthesis; screening hit
sotrastaurin,PRKCB,inhibitor of protein kinase C beta
NSC19630,WRN,inhibitor of Werner syndrome helicase activity
PDMP,UGCG,inhibitor of ceramide glucosyltransferase
marinopyrrole A,MCL1,natural product; putative inhibitor of MCL1
bafilomycin A1,ATP6V0A1,inhibitor of the vacuolar-type H+-ATPase
BRD-K33514849,,screening hit
BRD-K04800985,,product of diversity oriented synthesis
BRD-K02251932,,product of diversity oriented synthesis
BRD-K14844214,,product of diversity oriented synthesis
istradefylline,ADORA2A,antagonist of the adenosine A2A receptor
BIRB-796,MAPK11;MAPK11;MAPK14,inhibitor of p38 MAPK
WAY-362450,NR1H4,agonist of farnesoid X receptor
veliparib,PARP1;PARP2,inhibitor of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2)
BRD-K90370028,,screening hit
thalidomide,CRBN,immunomodulatory drug; binder of cereblon
SZ4TA2,BCL2L1,inhibitor of BCL-xL
CBB-1007,KDM1A,inhibitor of lysine-specific demethylase 1A (LSD1)
ML050,GPER1,antagonist of GPR30
BMS-270394,RARG,antagonist of retinoic acid receptor gamma
skepinone-L,MAPK14,inhibitor of p38 MAPK
MI-2,MEN1,binder of menin; inhibitor of menin-MLL fusion protein
TG-100-115,PIK3CD;PIK3CG,inhibitor of PI3K catalytic subunits delta and gamma
AZD6482,PIK3CB;PIK3CD,inhibitor of PI3K catalytic subunits beta and delta
TGX-221,PIK3CB,inhibitor of PI3K catalytic subunit beta
CAL-101,PIK3CD,inhibitor of PI3K catalytic subunit delta
pluripotin,MAPK1;RASAL1,promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK
saracatinib,ABL1;SRC,inhibitor of SRC and ABL1
dasatinib,EPHA2;KIT;LCK;SRC;YES1,"inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK"
WZ4002,EGFR,inhibitor of EGFR targeting T790M resistance
PD 153035,EGFR,inhibitor of EGFR
ibrutinib,BTK,inhibitor of Bruton's tyrosine kinase
WZ8040,EGFR,inhibitor of EGFR targeting T790M resistance
bosutinib,ABL1;SRC,inhibitor of SRC and ABL1
gefitinib,AKT1;EGFR,inhibitor of EGFR and AKT1
erlotinib,EGFR;ERBB2,inhibitor of EGFR and HER2
vandetanib,EGFR;KDR,inhibitor of VEGFR2 and EGFR
canertinib,EGFR;ERBB2,inhibitor of EGFR and HER2
lapatinib,EGFR;ERBB2,inhibitor of EGFR and HER2
afatinib,EGFR;ERBB2,inhibitor of EGFR and HER2
neratinib,EGFR;ERBB2,inhibitor of EGFR and HER2
BRD-K71935468,,inducer of ROS
BRD-K94991378,,inducer of ROS
VER-155008,HSPA1A;HSPA1B;HSPA1L,inhibitor of HSP70
IPR-456,PLAUR,inhibitor of the interaction of urokinase receptor with binding partners
BRD9647,,screening hit
C6-ceramide,MAPK1;PPP2CA;UGCG,inhibitor of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A
VU0155056,PLD1;PLD2,inhibitor of phospholipase D1/D2
Ko-143,ABCG2,inhibitor of breast cancer resistance protein multidrug transporter (BCRP)
L-685458,APH1A;NCSTN;PSEN1;PSENEN,inhibitor of gamma-secretase
MI-1,MEN1,binder of menin; inhibitor of menin-MLL fusion protein
UNC0321,EHMT2,inhibitor of G9a histone methyltransferase
fumonisin B1,CERS1;CERS2;CERS3;CERS4;CERS5;CERS6,inhibitor of ceramide synthase
GSK4112,NR1D1,antagonist of Rev-ErbAalpha
ciclosporin,PPID,inhibitor of calcineurin by binding to cyclophilin D
HC-067047,TRPV4,inhibitor of cation channel TRPV4
BRD-A71883111,IDH1,putative inhibitor of IDH1 R132H
tretinoin,RARA;RARB;RARG,agonist of retinoid acid receptors
Ch-55,RARA;RARB;RARG,agonist of retinoid acid receptors
BRD-K29086754,,product of diversity oriented synthesis
AGK-2,SIRT2,inhibitor of sirtuin 2
BRD-K33199242,,product of diversity oriented synthesis
BRD-K19103580,,product of diversity oriented synthesis
BRD-K41597374,,product of diversity oriented synthesis
BRD-K09587429,,product of diversity oriented synthesis
BRD-K52037352,,product of diversity oriented synthesis
BRD-K27986637,,product of diversity oriented synthesis; screening hit
BRD-K48334597,,product of diversity oriented synthesis
RO4929097,APH1A;NCSTN;PSEN1;PSENEN,inhibitor of gamma-secretase
trametinib,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2
PD318088,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2
selumetinib,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2
BRD-K51831558,EZH2,inhibitor of enhancer of zeste polycomb repressive complex 2 subunit
JW-55,TNKS,inhibitor of tankyrase
JW-74,,inhibitor of WNT signaling
GSK2636771,PIK3CB,inhibitor of PI3K catalytic subunit beta
PRIMA-1-Met,TP53,re-activator of the pro-apoptotic activity of mutant p53
ML312,SCARB1,"inhibitor of scavenger receptor class B, member 1 (SCARB1)-mediated lipid uptake"
BRD-K16147474,,product of diversity oriented synthesis
etomoxir,CPT1A,inhibitor of carnitine palmitoyltransferase
BRD-K49290616,,product of diversity oriented synthesis
FGIN-1-27,TSPO,activator of peripheral benzodiazepine receptor/translocator protein
BRD-K96431673,,product of diversity oriented synthesis
BRD-K96970199,,product of diversity oriented synthesis
BRD-K17060750,,product of diversity oriented synthesis
BRD-K86535717,,product of diversity oriented synthesis
BRD-K02492147,,product of diversity oriented synthesis
BRD-K75293299,,product of diversity oriented synthesis
sitagliptin,DPP4,inhibitor of dipetidyl peptidase-4
SGX-523,MET,inhibitor of MET
NSC30930,SRD5A2,inhibitor of steroid 5-alpha reductase
quizartinib,FLT3,inhibtor of VEGFR3
XL765,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC,inhibitor of mTOR and PI3K kinase acitivities
BRD-K85133207,HDAC1,inhibitor of HDAC1
16-beta-bromoandrosterone,,dehydroepiandrosterone (DHEA) analog
tosedostat,ANPEP;LAP3;NPEPPS,"inhibitor of leucine aminopeptidase 3 (LAP), puromycin-sensitive aminopeptidase (PuSA), and aminopeptidase N"
AT-406,XIAP,SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)
birinapant,DIABLO;XIAP,SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)
SRT-1720,SIRT1,activator of sirtuin-1
epigallocatechin-3-monogallate,,natural product
BRD-K13999467,,product of diversity oriented synthesis
BRD-A94377914,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
Compound 7d-cis,XPO1,inhibitor of CRM1-mediated nucleocytoplasmic transport
tipifarnib-P2,FNTA,inhibitor of farnesyltransferase
myriocin,SPTLC1;SPTLC2;SPTLC3,inhibitor of serine palmitoyltransferase
avrainvillamide,NPM1,natural product; inhibitor of nucleophosmin
AC55649,RARB,agonist of retinoic acid receptor beta
lomeguatrib,MGMT,inhibitor of methylguanine-DNA methyltransferase
semagacestat,APH1A;NCSTN;PSEN1;PSENEN,inhibitor of gamma-secretase
SR1001,RORA;RORC,synthetic ROR ligand; suppressor of TH17 differentiation
BMS-195614,RARA;RARB;RARG,antagonist of retinoic acid receptors
vorapaxar,F2R,antagonist of proteinase-activated receptor 1 (PAR1)
blebbistatin,MYH1;MYH2,inhibitor of myosin II ATPases
FSC231,PICK1,inhibitor of PDZ domain of protein interacting with PRKCA 1 (PICK1)
ML258,BCL2L10,inhibitor of BIM-BCL-B interaction
O-6-benzylguanine,MGMT,inhibitor of O(6)-alkylguanine DNA alkyltransferases
Compound 1541A,CASP3;CASP6;CASP7,"activators of executioner procaspases 3, 6, and 7"
tubastatin A,HDAC6,inhibitor of tubulin deacetylase activity of HDAC6
CIL55,,screening hit
CAY10576,IKBKE,inhibitor of IKK-epsilon
BRD-K41334119,,product of diversity oriented synthesis
BRD-K27224038,,product of diversity oriented synthesis
BRD-K84807411,,product of diversity oriented synthesis
BRD-K30019337,,product of diversity oriented synthesis
BRD-K78574327,,product of diversity oriented synthesis
BRD-K42260513,EZH2,inhibitor of enhancer of zeste polycomb repressive complex 2 subunit
IU1,USP14,inhibitor of the deubiquitinase activity of USP14
LY-2157299,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor
BCL-LZH-4,,"inhibitor of BCL2, BCL-xL, and MCL1"
PF-4800567 hydrochloride,CSNK1D;CSNK1E,inhibitor of casein kinase isoforms delta and epsilon
pandacostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
BRD6340,,screening hit
BEC,ARG1;ARG2,inhibitor of arginase I and II
VAF-347,AHR,inhibitor of aryl hydrocarbon receptor
BRD-K34485477,,product of diversity oriented synthesis
BRD-K37390332,,product of diversity oriented synthesis
BRD-K44224150,,product of diversity oriented synthesis
procarbazine,,inducer of DNA damage
necrostatin-1,RIPK1,inhibitor of receptor-interacting protein kinase 1; inhibitor of the necroptosis cell death pathway
sildenafil,PDE5A,inhibitor of phosphodiesterase 5A
cyclophosphamide,,DNA alkylator
ML083,PKM,activator of muscle pyruvate kinase
necrostatin-7,,inhibitor of necroptosis
bexarotene,RXRA;RXRB;RXRG,inhibitor of retinoid X receptors
SCH-79797,F2R,antagonist of proteinase-activated receptor 1 (PAR1)
methotrexate,DHFR,inhibitor of dihydrofolate reductase
RG-108,DNMT1,inhibitor of DNA methyltransferase
GMX-1778,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase
STF-31,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase
daporinad,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase
CAY10618,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase
dacarbazine,,DNA alkylator
fluorouracil,TYMS,pyrimidine analog; inhibitor of thymidylate synthase
decitabine,DNMT1,inhibitor of DNA methyltransferase
PF-3758309,PAK4,inhibitor of serine/threonine p21-activating kinase 4
omacetaxine mepesuccinate,,inhibitor of protein translation by preventing protein elongation
SNS-032,CDK16;CDK17;CDK2;CDK7;CDK9;CDKL5,inhibitor of cyclin-dependent kinases
PHA-793887,CDK1;CDK2;CDK4;CDK5;CDK7;CDK9,inhibitor of cyclin-dependent kinases
leptomycin B,XPO1,inhibitor of exportin 1
narciclasine,RHOA,activates cellular activity of RhoA; modulator of Rho/Rho kinase/LIM kinase/cofilin signaling
SR-II-138A,EIF4A2;EIF4E;EIF4G1,silvestrol analog; inhibits translation by modulating the eIF4F complex
CR-1-31B,EIF4A2;EIF4E;EIF4G1,silvestrol analog; inhibits translation by modulating the eIF4F complex
BMS-345541,IKBKB,inhibitor of IKK-2
dinaciclib,CDK1;CDK2;CDK5;CDK9,inhibitor of cyclin-dependent kinases
alvocidib,CDK1;CDK2;CDK4;CDK6,inhibitor of cyclin-dependent kinases
linifanib,FLT1;FLT3;KDR,inhibitor of VEGFRs
MK-1775,WEE1,inhibitor of WEE1
AZD7762,CHEK1;CHEK2,inhibitor of checkpoint kinases 1 and 2
N9-isopropylolomoucine,CCNB1;CDK1;CDK5;CDK5R1,inhibitor of CDK1/cyclin B and CDK5/p35 complexes
momelotinib,JAK1;JAK2,inhibitor of Janus kinases 1 and 2
AT13387,HSP90AA1,inhibitor of HSP90
SNX-2112,HSP90AA1;HSP90B1,inhibitor of HSP90alpha and HSP90beta
tanespimycin,HSP90AA1,inhibitor of HSP90
NVP-231,CERK,inhibitor of ceramide kinase
ML311,MCL1,inhibitor of MCL1
GW-843682X,PLK1;PLK3,inhibitor of PLK1 and PLK3
LY-2183240,FAAH,inhibitor of fatty acid amide hydrolase; inhibitor of anandamide uptake
BI-2536,PLK1,inhibitor of polo-like kinase 1 (PLK1)
GSK461364,PLK1,inhibitor of polo-like kinase 1 (PLK1)
triazolothiadiazine,PDE4A;PDE4B;PDE4D,inhibitor of phosphdiesterase 4A/B/D
vincristine,,inhibitor of mictrotubule assembly
parbendazole,,inhibitor of microtubule assembly
KX2-391,SRC,peptide mimetic; inhibitor of SRC activity in cells
paclitaxel,,inhibitor of microtubule assembly
SB-743921,KIF11,inhibitor of kinesin 11
rigosertib,PIK3CA;PIK3CB;PLK1,inhibitor of polo-like kinase 1; inhibitor of PI3K catalytic subunits alpha and beta
BRD-K70511574,PLK1,inhibitor of polo-like kinase 1 (PLK1)
ceranib-2,ACER1;ACER2;ACER3;ASAH1;ASAH2;ASAH2B,inhibitor of ceramidase activity
nakiterpiosin,,natural product; inhibitor of microtubule assembly
BRD-K66453893,,product of diversity oriented synthesis
SB-225002,CXCR2,inhibitor of chemokine receptor 2
CHM-1,,inhibitor of tubulin polymerization
FQI-1,,inhibitor of LSF1-mediated transcription
FQI-2,,inhibitor of LSF1-mediated transcription
ELCPK,,screening hit
docetaxel,,inhibitor of microtubule assembly
