MOLECULE_CHEMBL_ID	MOLECULE_NAME	MOLECULE_TYPE	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	USAN_STEM	MECHANISM_OF_ACTION	MECHANISM_COMMENT	SELECTIVITY_COMMENT	TARGET_CHEMBL_ID	TARGET_NAME	ACTION_TYPE	ORGANISM	TARGET_TYPE	SITE_NAME	BINDING_SITE_COMMENT	MECHANISM_REFS	CANONICAL_SMILES
CHEMBL90	Histamine	Small molecule	1939	L03AX14; V04CG03	L03AX14 [Antineoplastic And Immunomodulating Agents:Immunostimulants:Immunostimulants:Other immunostimulants]; V04CG03 [Various:Diagnostic Agents:Other Diagnostic Agents:Tests for gastric secretion]		Histamine H1 receptor agonist	Positive control for allegy test		CHEMBL231	Histamine H1 receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=1159c24c-d9ce-49a2-b0bd-dc27c710f146, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1159c24c-d9ce-49a2-b0bd-dc27c710f146	NCCc1c[nH]cn1
CHEMBL918	Phenacemide	Small molecule	1951	N03AX07	N03AX07 [Nervous System:Antiepileptics:Antiepileptics:Other antiepileptics]		Sodium channel alpha subunit blocker			CHEMBL2331043	Sodium channel alpha subunit	BLOCKER	Homo sapiens	PROTEIN FAMILY			Name:Expert, SrcID:, URL:	NC(=O)NC(=O)Cc1ccccc1
CHEMBL1054	Trichlormethiazide	Small molecule	1960	C03AA06	C03AA06 [Cardiovascular System:Diuretics:Low-Ceiling Diuretics, Thiazides:Thiazides, plain]	-thiazide	Thiazide-sensitive sodium-chloride cotransporter inhibitor			CHEMBL1876	Thiazide-sensitive sodium-chloride cotransporter	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DOI, SrcID:10.1056/NEJMra0907219, URL:http://www.nejm.org/doi/full/10.1056/NEJMra0907219	NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl
CHEMBL1314	Tiopronin	Small molecule	1988	R05CB12	R05CB12 [Respiratory System:Cough And Cold Preparations:Expectorants, Excl. Combinations With Cough Suppressants:Mucolytics]		Reducing agent	Prevents cysteine excretion									Name:DailyMed, SrcID:setid=494a714e-923c-cd57-df6c-12886afb265a#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=494a714e-923c-cd57-df6c-12886afb265a#nlm34090-1	CC(S)C(=O)NCC(=O)O
CHEMBL1269025	Edoxaban	Small molecule	2015			-xaban	Coagulation factor X inhibitor			CHEMBL244	Coagulation factor X	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:FDA, SrcID:label/2015/206316lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/206316lbl.pdf	CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)Nc2ccc(Cl)cn2)[C@@H](C1)NC(=O)c3nc4CCN(C)Cc4s3
CHEMBL513	Carmustine	Small molecule	1977	L01AD01	L01AD01 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Alkylating Agents:Nitrosoureas]	-mustine	RNA inhibitor			CHEMBL2311222	RNA	INHIBITOR	Homo sapiens	NUCLEIC-ACID			Name:DailyMed, SrcID:setid=be6776fe-7f24-417d-ef08-8830c4eca959, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=be6776fe-7f24-417d-ef08-8830c4eca959	ClCCNC(=O)N(CCCl)N=O
CHEMBL514	Lomustine	Small molecule	1976	L01AD02	L01AD02 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Alkylating Agents:Nitrosoureas]	-mustine	DNA inhibitor			CHEMBL2311221	DNA	INHIBITOR	Homo sapiens	NUCLEIC-ACID			Name:DailyMed, SrcID:setid=17893de9-7d54-448c-9fca-d10642046d14, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=17893de9-7d54-448c-9fca-d10642046d14	ClCCN(N=O)C(=O)NC1CCCCC1
CHEMBL276711	Semaxanib	Small molecule				-anib	Stem cell growth factor receptor inhibitor			CHEMBL1936	Stem cell growth factor receptor	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:11222388, URL:http://europepmc.org/abstract/MED/11222388|Name:PubMed, SrcID:9892193, URL:http://europepmc.org/abstract/MED/9892193	Cc1cc(C)c(\C=C\2/C(=O)Nc3ccccc23)[nH]1
CHEMBL274654	Orantinib	Small molecule					Fibroblast growth factor receptor inhibitor	Ph 3 trial discontinued, compound on hold?		CHEMBL2095217	Fibroblast growth factor receptor	INHIBITOR	Homo sapiens	PROTEIN FAMILY			Name:PubMed, SrcID:10945623, URL:http://europepmc.org/abstract/MED/10945623	Cc1[nH]c(\C=C\2/C(=O)Nc3ccccc23)c(C)c1CCC(=O)O
CHEMBL14762	Seliciclib	Small molecule				-ciclib	Cyclin-dependent kinase 5 inhibitor			CHEMBL4036	Cyclin-dependent kinase 5	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:, SrcID:, URL:	CC[C@H](CO)Nc1nc(NCc2ccccc2)c3ncn(C(C)C)c3n1
CHEMBL428690	Alvocidib	Small molecule					Cyclin-dependent kinase 4 inhibitor			CHEMBL331	Cyclin-dependent kinase 4	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:, SrcID:, URL:	CN1CC[C@@H]([C@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl
CHEMBL112	Acetaminophen	Small molecule	1968	N02BE71; N02BE51; N02BE01	N02BE71 [Nervous System:Analgesics:Other Analgesics And Antipyretics:Anilides]; N02BE51 [Nervous System:Analgesics:Other Analgesics And Antipyretics:Anilides]; N02BE01 [Nervous System:Analgesics:Other Analgesics And Antipyretics:Anilides]		Anandamide amidohydrolase inhibitor	FAAH converts acetaminophen into the active metabolite AM404, but this conversion also competes with degradation of anandamide increasing its concentration and effects		CHEMBL2243	Anandamide amidohydrolase	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:15987694, URL:http://europepmc.org/abstract/MED/15987694	CC(=O)Nc1ccc(O)cc1
CHEMBL15891	Lindane	Small molecule	1974	P03AB02	P03AB02 [Antiparasitic Products, Insecticides And Repellents:Ectoparasiticides, Incl. Scabicides, Insecticides And Repellents:Ectoparasiticides, Incl. Scabicides:Chlorine containing products]		GABA-A receptor negative allosteric modulator	mode not clear, but seems negative and likely allosteric, binds at picrotoxin site?		CHEMBL2364025	GABA-A receptor	NEGATIVE ALLOSTERIC MODULATOR	Pediculus humanus	PROTEIN COMPLEX GROUP			Name:PubMed, SrcID:14635176, URL:http://europepmc.org/abstract/MED/14635176	Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl
CHEMBL578	Enalapril	Small molecule	1985	C09AA02	C09AA02 [Cardiovascular System:Agents Acting On The Renin-Angiotensin System:Ace Inhibitors, Plain:ACE inhibitors, plain]	-pril	Angiotensin-converting enzyme inhibitor			CHEMBL1808	Angiotensin-converting enzyme	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:FDA, SrcID:label/2015/018998s080lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/018998s080lbl.pdf	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O
CHEMBL580	Lorazepam	Small molecule	1977	N05BA06; N05BA56	N05BA06 [Nervous System:Psycholeptics:Anxiolytics:Benzodiazepine derivatives]; N05BA56 [Nervous System:Psycholeptics:Anxiolytics:Benzodiazepine derivatives]	-azepam	GABA-A receptor; anion channel positive allosteric modulator			CHEMBL2093872	GABA-A receptor; anion channel	POSITIVE ALLOSTERIC MODULATOR	Homo sapiens	PROTEIN COMPLEX GROUP	Benzodiazepine binding site	Benzodiazepine site	Name:PubMed, SrcID:18384456, URL:http://europepmc.org/abstract/MED/18384456|Name:PubMed, SrcID:2570451, URL:http://europepmc.org/abstract/MED/2570451	OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O
CHEMBL116	Amprenavir	Small molecule	1999	J05AE05	J05AE05 [Antiinfectives For Systemic Use:Antivirals For Systemic Use:Direct Acting Antivirals:Protease inhibitors]	-vir	Human immunodeficiency virus type 1 protease inhibitor			CHEMBL243	Human immunodeficiency virus type 1 protease	INHIBITOR	Human immunodeficiency virus 1	SINGLE PROTEIN			Name:FDA, SrcID:label/2005/021007s017lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/021007s017lbl.pdf	CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)S(=O)(=O)c3ccc(N)cc3
CHEMBL593	Delavirdine	Small molecule	1997	J05AG02	J05AG02 [Antiinfectives For Systemic Use:Antivirals For Systemic Use:Direct Acting Antivirals:Non-nucleoside reverse transcriptase inhibitors]	-vir-	Human immunodeficiency virus type 1 reverse transcriptase inhibitor			CHEMBL247	Human immunodeficiency virus type 1 reverse transcriptase	INHIBITOR	Human immunodeficiency virus 1	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=992306f0-c612-41dd-a4df-35d1fd360033#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=992306f0-c612-41dd-a4df-35d1fd360033#nlm34090-1	CC(C)Nc1cccnc1N2CCN(CC2)C(=O)c3cc4cc(NS(=O)(=O)C)ccc4[nH]3
CHEMBL595	Pioglitazone	Small molecule	1999	A10BG03	A10BG03 [Alimentary Tract And Metabolism:Drugs Used In Diabetes:Blood Glucose Lowering Drugs, Excl. Insulins:Thiazolidinediones]	-glitazone	Peroxisome proliferator-activated receptor gamma agonist			CHEMBL235	Peroxisome proliferator-activated receptor gamma	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=d2ddc491-88a9-4063-9150-443b4fa4330c, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d2ddc491-88a9-4063-9150-443b4fa4330c	CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
CHEMBL19019	Naltrexone	Small molecule	1984	N07BB04	N07BB04 [Nervous System:Other Nervous System Drugs:Drugs Used In Addictive Disorders:Drugs used in alcohol dependence]	nal-	Opioid receptors; mu/kappa/delta antagonist			CHEMBL2095181	Opioid receptors; mu/kappa/delta	ANTAGONIST	Homo sapiens	PROTEIN FAMILY			Name:DailyMed, SrcID:setid=49aa3d6d-2270-4615-aafa-b440859ab870#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=49aa3d6d-2270-4615-aafa-b440859ab870#nlm34090-1	Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36O
CHEMBL604	Cupric Sulfate	Small molecule	1987	V03AB20	V03AB20 [Various:All Other Therapeutic Products:All Other Therapeutic Products:Antidotes]		Unknown										Name:DailyMed, SrcID:setid=941ad1e2-6052-4df4-8cfe-5af4a99703e4, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=941ad1e2-6052-4df4-8cfe-5af4a99703e4	
CHEMBL623	Nefazodone	Small molecule	1994	N06AX06	N06AX06 [Nervous System:Psychoanaleptics:Antidepressants:Other antidepressants]		Serotonin transporter inhibitor			CHEMBL228	Serotonin transporter	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=b1d149db-ad43-4f3f-aef1-fb0395ba4191#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b1d149db-ad43-4f3f-aef1-fb0395ba4191#nlm34090-1	CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4
CHEMBL626	Naftifine	Small molecule	1988	D01AE22	D01AE22 [Dermatologicals:Antifungals For Dermatological Use:Antifungals For Topical Use:Other antifungals for topical use]		Squalene monooxygenase inhibitor			CHEMBL2364679	Squalene monooxygenase	INHIBITOR	Trichophyton	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=f4b6c5d8-615c-47d6-8ad9-523c7ab146af, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f4b6c5d8-615c-47d6-8ad9-523c7ab146af	CN(C\C=C\c1ccccc1)Cc2cccc3ccccc23
CHEMBL628	Pentoxifylline	Small molecule	1984	C04AD03	C04AD03 [Cardiovascular System:Peripheral Vasodilators:Peripheral Vasodilators:Purine derivatives]	-fylline; -tox-	3',5'-cyclic phosphodiesterase inhibitor			CHEMBL2363066	3',5'-cyclic phosphodiesterase	INHIBITOR	Homo sapiens	PROTEIN FAMILY			Name:FDA, SrcID:label/2012/018631s039lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/018631s039lbl.pdf|Name:PubMed, SrcID:11692087, URL:http://europepmc.org/abstract/MED/11692087|Name:PubMed, SrcID:18568240, URL:http://europepmc.org/abstract/MED/18568240	CN1C(=O)N(CCCCC(=O)C)C(=O)c2c1ncn2C
CHEMBL128	Sumatriptan	Small molecule	1992	N02CC01	N02CC01 [Nervous System:Analgesics:Antimigraine Preparations:Selective serotonin (5HT1) agonists]	-triptan	Serotonin 1d (5-HT1d) receptor agonist		Selective	CHEMBL1983	Serotonin 1d (5-HT1d) receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:FDA, SrcID:label/2012/020080s039s040s041s045lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020080s039s040s041s045lbl.pdf	CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
CHEMBL632	Betamethasone	Small molecule	1961	S01CB04; H02AB01; S01BA06; A07EA04; D07AC01; D07XC01; R03BA04; S03BA03; C05AA05; R01AD06; S02BA07	S01CB04 [Sensory Organs:Ophthalmologicals:Antiinflammatory Agents And Antiinfectives In Combination:Corticosteroids/antiinfectives/mydriatics in combination]; H02AB01 [Systemic Hormonal Preparations, Excl. :Corticosteroids For Systemic Use:Corticosteroids For Systemic Use, Plain:Glucocorticoids]; S01BA06 [Sensory Organs:Ophthalmologicals:Antiinflammatory Agents:Corticosteroids, plain]; A07EA04 [Alimentary Tract And Metabolism:Antidiarrheals, Intestinal Antiinflammatory/Antiinfective :Intestinal Antiinflammatory Agents:Corticosteroids acting locally]; D07AC01 [Dermatologicals:Corticosteroids, Dermatological Preparations:Corticosteroids, Plain:Corticosteroids, potent (group III)]; D07XC01 [Dermatologicals:Corticosteroids, Dermatological Preparations:Corticosteroids, Other Combinations:Corticosteroids, potent, other combinations]; R03BA04 [Respiratory System:Drugs For Obstructive Airway Diseases:Other Drugs For Obstructive Airway Diseases, Inhalants:Glucocorticoids]; S03BA03 [Sensory Organs:Ophthalmological And Otological Preparations:Corticosteroids:Corticosteroids]; C05AA05 [Cardiovascular System:Vasoprotectives:Agents For Treatment Of Hemorrhoids And Anal :Corticosteroids]; R01AD06 [Respiratory System:Nasal Preparations:Decongestants And Other Nasal Preparations For Topical Use:Corticosteroids]; S02BA07 [Sensory Organs:Otologicals:Corticosteroids:Corticosteroids]		Glucocorticoid receptor agonist			CHEMBL2034	Glucocorticoid receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:12188035, URL:http://europepmc.org/abstract/MED/12188035|Name:PubMed, SrcID:15336699, URL:http://europepmc.org/abstract/MED/15336699|Name:PubMed, SrcID:15866114, URL:http://europepmc.org/abstract/MED/15866114	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CHEMBL636	Rivastigmine	Small molecule	2000	N06DA03	N06DA03 [Nervous System:Psychoanaleptics:Anti-Dementia Drugs:Anticholinesterases]	-stigmine	Cholinesterases; ACHE & BCHE inhibitor			CHEMBL2095233	Cholinesterases; ACHE & BCHE	INHIBITOR	Homo sapiens	SELECTIVITY GROUP			Name:FDA, SrcID:label/2006/020823s016,021025s008lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/020823s016,021025s008lbl.pdf	CCN(C)C(=O)Oc1cccc(c1)[C@H](C)N(C)C
CHEMBL639	Azelastine	Small molecule	1996	S01GX07; R06AX19; R01AC03	S01GX07 [Sensory Organs:Ophthalmologicals:Decongestants And Antiallergics:Other antiallergics]; R06AX19 [Respiratory System:Antihistamines For Systemic Use:Antihistamines For Systemic Use:Other antihistamines for systemic use]; R01AC03 [Respiratory System:Nasal Preparations:Decongestants And Other Nasal Preparations For Topical Use:Antiallergic agents, excl. corticosteroids]	-astine	Histamine H1 receptor antagonist			CHEMBL231	Histamine H1 receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=46b2ddff-d40a-43ac-b027-4fac9fc2f4b9, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=46b2ddff-d40a-43ac-b027-4fac9fc2f4b9	CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O
CHEMBL642	Acebutolol	Small molecule	1984	C07AB04	C07AB04 [Cardiovascular System:Beta Blocking Agents:Beta Blocking Agents:Beta blocking agents, selective]	-olol	Beta-1 adrenergic receptor antagonist			CHEMBL213	Beta-1 adrenergic receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=6bfb00a0-c057-4dfb-9ae3-e5b7d782cd24, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6bfb00a0-c057-4dfb-9ae3-e5b7d782cd24	CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C
CHEMBL644	Trimipramine	Small molecule	1979	N06AA06	N06AA06 [Nervous System:Psychoanaleptics:Antidepressants:Non-selective monoamine reuptake inhibitors]	-pramine	Serotonin 2c (5-HT2c) receptor antagonist			CHEMBL225	Serotonin 2c (5-HT2c) receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:ISBN, SrcID:0443-059748 PP. 555, URL:http://www.isbnsearch.org/isbn/0443059748|Name:PubMed, SrcID:16229049, URL:http://europepmc.org/abstract/MED/16229049	CC(CN(C)C)CN1c2ccccc2CCc3ccccc13
CHEMBL647	Apraclonidine	Small molecule	1987	S01EA03	S01EA03 [Sensory Organs:Ophthalmologicals:Antiglaucoma Preparations And Miotics:Sympathomimetics in glaucoma therapy]		Adrenergic receptor alpha-2 agonist			CHEMBL2095158	Adrenergic receptor alpha-2	AGONIST	Homo sapiens	PROTEIN FAMILY			Name:DailyMed, SrcID:setid=dc7d3a9f-c0b9-411c-9c62-0a14f1718b00, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=dc7d3a9f-c0b9-411c-9c62-0a14f1718b00	Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1
CHEMBL651	Methadone	Small molecule	1947	N07BC02; N02AC52	N07BC02 [Nervous System:Other Nervous System Drugs:Drugs Used In Addictive Disorders:Drugs used in opioid dependence]; N02AC52 [Nervous System:Analgesics:Opioids:Diphenylpropylamine derivatives]		Mu opioid receptor agonist			CHEMBL233	Mu opioid receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=e6af84de-cbfc-4a3b-bd73-6bcf77337168#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e6af84de-cbfc-4a3b-bd73-6bcf77337168#nlm34090-1	CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2
