"","population","number.of.drugs","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"MLN2238",30,3,"BORTEZOMIB","MG132","MLN2238",NA,NA,NA,NA,NA,NA,NA
"NAVITOCLAX",31,2,"ABT737","NAVITOCLAX",NA,NA,NA,NA,NA,NA,NA,NA
"OUABAIN",32,4,"AVICIND","BREFELDINA","NARCICLASINE","OUABAIN",NA,NA,NA,NA,NA,NA
"PAC1",33,6,"CICLOPIROX","MST312","NUTLIN3","OLAPARIB","PAC1","TW37",NA,NA,NA,NA
"PACLITAXEL",34,3,"DOCETAXEL","MK1775","PACLITAXEL",NA,NA,NA,NA,NA,NA,NA
"PF750",35,7,"ERASTIN","KO143","NECROSTATIN1","OLIGOMYCINA","PF750","SID26681509","VALDECOXIB",NA,NA,NA
"PIPERLONGUMINE",36,5,"CURCUMIN","MANUMYCINA","NSC632839","PIPERLONGUMINE","PX12",NA,NA,NA,NA,NA
"PRIMA1MET",37,7,"AGK2","DARINAPARSIN","FUMONISINB1","PRIMA1","PRIMA1MET","SRT1720","VER155008",NA,NA,NA
"PURMORPHAMINE",38,3,"PIFITHRINALPHA","PURMORPHAMINE","QS11",NA,NA,NA,NA,NA,NA,NA
"PYRAZOLANTHRONE",39,2,"PYRAZOLANTHRONE","TPCA1",NA,NA,NA,NA,NA,NA,NA,NA
"SALERMIDE",40,7,"BIBR1532","CI976","IMPORTAZOLE","NICLOSAMIDE","SALERMIDE","SCH79797","YM155",NA,NA,NA
"SARACATINIB",41,7,"AZD7762","BOSUTINIB","CEDIRANIB","DASATINIB","NINTEDANIB","SARACATINIB","TANDUTINIB",NA,NA,NA
"SERDEMETAN",42,2,"ITRACONAZOLE","SERDEMETAN",NA,NA,NA,NA,NA,NA,NA,NA
"SITAGLIPTIN",43,5,"BLEBBISTATIN","PRL3INHIBITORI","SGX523","SITAGLIPTIN","TG100115",NA,NA,NA,NA,NA
"SN38",44,8,"CHLORAMBUCIL","CLOFARABINE","ETOPOSIDE","GEMCITABINE","METHOTREXATE","SN38","TENIPOSIDE","TOPOTECAN",NA,NA
"TACEDINALINE",45,4,"BRDK55116708","ENTINOSTAT","MERCK60","TACEDINALINE",NA,NA,NA,NA,NA,NA
"TEMSIROLIMUS",46,4,"CYTOCHALASINB","SIROLIMUS","TACROLIMUS","TEMSIROLIMUS",NA,NA,NA,NA,NA,NA
"TG101348",47,4,"BI2536","KU0060648","SUNITINIB","TG101348",NA,NA,NA,NA,NA,NA
"THALIDOMIDE",48,2,"DEXAMETHASONE","THALIDOMIDE",NA,NA,NA,NA,NA,NA,NA,NA
"TIVOZANIB",49,8,"AXITINIB","KI8751","LINIFANIB","MGCD265","PAZOPANIB","QUIZARTINIB","SORAFENIB","TIVOZANIB",NA,NA
"TRIFLUOPERAZINE",50,3,"PROCHLORPERAZINE","TANESPIMYCIN","TRIFLUOPERAZINE",NA,NA,NA,NA,NA,NA,NA
"VINCRISTINE",51,6,"LY2183240","PARBENDAZOLE","SB225002","TIVANTINIB","VINCRISTINE","YK4279",NA,NA,NA,NA
