"","population","number.of.drugs","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"GEFITINIB",23,9,"AFATINIB","DASATINIB","ERLOTINIB","FOSTAMATINIB","GEFITINIB","LAPATINIB","PAZOPANIB","PYRAZOLANTHRONE","TYRPHOSTINAG1478",NA
"IMATINIB",24,3,"IMATINIB","NILOTINIB","OLAPARIB",NA,NA,NA,NA,NA,NA,NA
"ISOTRETINOIN",25,4,"IMIQUIMOD","ISOTRETINOIN","MIFEPRISTONE","PROGESTERONE",NA,NA,NA,NA,NA,NA
"LORATADINE",26,3,"CLOFAZIMINE","LORATADINE","RITONAVIR",NA,NA,NA,NA,NA,NA,NA
"LOVASTATIN",27,2,"LOVASTATIN","SIMVASTATIN",NA,NA,NA,NA,NA,NA,NA,NA
"MEBENDAZOLE",28,7,"CHELIDONINE","FLUBENDAZOLE","LOBENDAZOLE","MEBENDAZOLE","NOCODAZOLE","PARBENDAZOLE","PODOPHYLLOTOXIN",NA,NA,NA
"MELPHALAN",29,5,"CHLORAMBUCIL","CISPLATIN","MELPHALAN","THIOTEPA","TRYPTOPHAN",NA,NA,NA,NA,NA
"MENADIONE",30,5,"HALOPROGIN","MENADIONE","METHYLENEBLUE","PLUMBAGIN","SA792541",NA,NA,NA,NA,NA
"METHOTREXATE",31,4,"FLUOROURACIL","METHOTREXATE","PEMETREXED","PYRIMETHAMINE",NA,NA,NA,NA,NA,NA
"OLIGOMYCINC",32,4,"OLIGOMYCINA","OLIGOMYCINC","PROSTRATIN","THAPSIGARGIN",NA,NA,NA,NA,NA,NA
"OXIDOPAMINE",33,6,"HYPERICIN","LEFLUNOMIDE","OXIDOPAMINE","PMSF","PURPUROGALLIN","TERTBUTYLHYDROQUINONE",NA,NA,NA,NA
"PD98059",34,4,"NOBILETIN","PD98059","RHAMNETIN","SELUMETINIB",NA,NA,NA,NA,NA,NA
"PIMOZIDE",35,5,"ALLANTOIN","HALOPERIDOL","LASALOCID","PIMOZIDE","SPIPERONE",NA,NA,NA,NA,NA
"PROBUCOL",36,4,"HONOKIOL","PROBUCOL","RYANODINE","YOHIMBINE",NA,NA,NA,NA,NA,NA
"PROCARBAZINE",37,8,"CALYCANTHINE","HEXAMETHYLENEBISACETAMIDE","MONASTROL","NITAZOXANIDE","OFLOXACIN","PROCARBAZINE","SULFATHIAZOLE","TREMULACIN",NA,NA
"RALOXIFENE",38,4,"BERBAMINE","DIHYDROERGOCRISTINE","RALOXIFENE","TAMOXIFEN",NA,NA,NA,NA,NA,NA
"ROSCOVITINE",39,3,"DIPYRIDAMOLE","KENPAULLONE","ROSCOVITINE",NA,NA,NA,NA,NA,NA,NA
"STAUROSPORINE",40,3,"LESTAURTINIB","MIDOSTAURIN","STAUROSPORINE",NA,NA,NA,NA,NA,NA,NA
"SULFAQUINOXALINE",41,3,"CELECOXIB","CINCHONINE","SULFAQUINOXALINE",NA,NA,NA,NA,NA,NA,NA
"TEMSIROLIMUS",42,4,"CYTOCHALASINB","EVEROLIMUS","TEMSIROLIMUS","WORTMANNIN",NA,NA,NA,NA,NA,NA
"TERCONAZOLE",43,3,"CRIZOTINIB","ITRACONAZOLE","TERCONAZOLE",NA,NA,NA,NA,NA,NA,NA
"TERREICACID",44,6,"ASCORBICACID","BORTEZOMIB","CELASTROL","PARTHENOLIDE","PRIMA1","TERREICACID",NA,NA,NA,NA
"TYRPHOSTINA9",45,6,"GOSSYPOL","HEXACHLOROPHENE","MALONOBEN","NICLOSAMIDE","PENTAMIDINE","TYRPHOSTINA9",NA,NA,NA,NA
"VINCRISTINE",46,5,"COLCHICINE","ROTENONE","VINBLASTINE","VINCRISTINE","VINORELBINE",NA,NA,NA,NA,NA
"VORINOSTAT",47,4,"BELINOSTAT","ENTINOSTAT","PYROXAMIDE","VORINOSTAT",NA,NA,NA,NA,NA,NA
